Date,Close,High,Low,Open,Volume
23/06/2020,901.3526611,903.5883664,846.7647681,847.6963025,14580218
24/06/2020,890.1278076,922.1260528,886.8208714,911.9723037,11985132
25/06/2020,878.5301514,898.7444611,872.1491629,884.8646314,7508087
26/06/2020,896.3225098,909.2708052,876.1081997,889.61545,6554103
29/06/2020,872.4750977,890.6400185,866.3269933,884.9576814,4575801
30/06/2020,879.0424805,886.9605231,867.6311838,883.7467179,3656480
01/07/2020,861.0172729,876.5739095,854.2170829,876.5739095,6426017
02/07/2020,876.8533325,885.6097788,862.6008674,871.9162115,6542705
03/07/2020,879.6013794,889.988011,877.1327904,883.0946335,3928063
06/07/2020,886.0756226,893.8073475,881.837152,887.845504,3900219
07/07/2020,878.9958496,896.0429749,875.6423485,889.6153647,4051767
08/07/2020,876.8067017,898.3717445,873.779215,880.2533901,5227021
09/07/2020,880.253479,886.8207854,875.6423722,880.3000444,3777760
10/07/2020,868.329834,886.8207695,866.8393448,875.6423565,4537688
13/07/2020,864.6036987,880.1137128,861.6693426,875.6423589,3821300
14/07/2020,850.3978271,870.9381505,843.8304638,864.4639747,3646237
15/07/2020,849.7457275,861.669357,847.0442549,855.1951813,3229770
16/07/2020,858.0830078,860.7378583,836.9371638,850.4909791,3134451
17/07/2020,862.1816406,866.2804147,855.1485674,858.9678356,2040517
20/07/2020,856.6390381,868.096957,852.3540025,865.3954845,3035845
21/07/2020,873.8258667,877.7848881,857.5705794,863.5324225,4756570
22/07/2020,857.8500366,876.573855,847.6962891,874.8971045,4977432
23/07/2020,853.7979736,873.7328356,848.9539826,849.5595028,9075059
24/07/2020,842.4797974,851.8882728,836.5645194,851.7951421,6059379
27/07/2020,841.9208374,852.3540348,834.9343289,845.8332935,3615970
28/07/2020,850.9567261,854.2170967,837.4494765,846.5785028,3793721
29/07/2020,858.828064,876.4340282,854.4498414,856.6389242,7245021
30/07/2020,846.0661621,868.8421907,842.293459,865.3955019,3364408
31/07/2020,850.9101563,859.7131682,844.948313,851.3293581,2943858
03/08/2020,853.1924438,856.7788288,841.687959,850.4909711,3583167
04/08/2020,860.9707642,866.3270876,853.8445025,855.1486735,3860346
05/08/2020,869.8974609,878.1195541,865.2460939,868.2060704,3007723
06/08/2020,866.5147705,877.3679232,864.7293786,870.1794409,2188023
07/08/2020,860.4069214,870.9311558,858.9503903,866.8905954,2461109
10/08/2020,902.1281738,911.4778811,869.1928248,869.1928248,11861641
11/08/2020,903.8665771,920.5926543,899.3561253,911.1019741,5427516
12/08/2020,892.449585,898.3225093,887.9861625,894.5638377,3672458
13/08/2020,930.9289551,933.7009867,894.1409356,899.2621369,8816193
14/08/2020,923.5056763,955.6423326,914.6728317,939.621005,13443785
17/08/2020,940.4196167,946.2455691,928.1099902,941.5472296,4735094
18/08/2020,943.9434204,947.1852863,935.3454931,945.2589785,4362050
19/08/2020,948.2188721,963.1125856,944.7421467,955.8771885,4914223
20/08/2020,935.6742554,944.3661829,921.8141547,926.5124939,4791040
21/08/2020,934.1708984,949.0646122,932.1505894,949.0646122,2806380
24/08/2020,931.5397339,940.983442,930.2712052,935.9092125,2026255
25/08/2020,921.2503662,939.573889,918.8071954,933.090158,2914757
26/08/2020,910.491272,928.391935,906.7795721,927.452267,4482066
27/08/2020,916.7399292,920.8744907,907.0613618,916.4110684,4466609
28/08/2020,922.612915,944.0843612,919.1831616,928.3918956,7821191
31/08/2020,887.939209,935.3454668,883.6637314,928.4858452,8489726
01/09/2020,897.5708008,907.7192028,886.3887297,906.7325629,5099949
02/09/2020,897.8997192,901.8933081,890.8052375,898.7454434,2107714
03/09/2020,903.1618042,912.4175099,895.7853769,902.0811632,3278899
04/09/2020,885.6370239,898.4635141,883.2878541,890.8051975,3130721
07/09/2020,875.911438,893.3892376,860.9706957,890.0064562,3470806
08/09/2020,861.3936157,879.5291956,857.8698609,879.5291956,3738931
09/09/2020,854.6279297,872.0117853,846.6407528,852.7955659,5656245
10/09/2020,865.387146,867.3134537,856.977107,862.3332254,2948599
11/09/2020,862.0512695,865.9508565,856.9770404,864.4943829,2632298
14/09/2020,847.6743774,867.64232,846.6407657,866.7496814,5006356
15/09/2020,855.0508423,859.9840989,845.7011349,855.0978142,4488829
16/09/2020,866.1858521,868.2531329,856.3663111,859.7961219,3596197
17/09/2020,851.6209717,862.5681252,850.4463869,859.7960935,4512652
18/09/2020,846.3588257,858.9503402,842.8820432,856.2253379,7496145
21/09/2020,828.6460571,849.2717776,821.5515764,846.6407191,4597697
22/09/2020,804.8256226,834.3781919,800.5971167,834.3781919,5089087
23/09/2020,808.6781006,820.9877834,802.9931218,813.9402748,3709291
24/09/2020,799.3754272,808.0203827,792.1399735,804.3556552,11609426
25/09/2020,835.5996704,841.3786509,800.5970415,808.2083285,4961967
28/09/2020,848.3791504,862.1453082,839.1234444,843.821784,3853608
29/09/2020,841.4257202,857.775909,838.5597443,855.0509062,3362381
30/09/2020,847.2045898,849.9296498,830.7604009,843.6338632,3582787
01/10/2020,848.3321533,858.480555,846.3588737,855.0508016,2506154
05/10/2020,842.835144,853.7352689,841.0497521,853.1714911,2788003
06/10/2020,838.7474976,849.9765398,834.6599654,846.6877023,3497325
07/10/2020,834.3311157,841.0027346,823.1960172,841.0027346,5073845
